Date,Cluster,SolarMWh,OffshoreWindLt100MW_MWh,OffshoreWindGe100MW_MWh,OnshoreWindMWh,ThermalPowerMWh,TotalWindProduction,WD50M,WS50M,WD10M,WS10M,PS,wind_shear,wind_u_10m,wind_v_10m,wind_u_50m,wind_v_50m
2023-01-06,4,0.06,0.0,0.0,2686.952666,1932.914758,2686.952666,213.75,10.4,212.38,7.55,100.52,0.1989876343859937,-6.376087592354792,-4.04326687402888,-8.647283967946471,-5.777930423403864
2023-01-06,5,0.013,3398.55105,3853.591352,13042.367034,1487.268683,20294.509436,218.81,11.04,217.75,8.09,100.66,0.1931707382910794,-6.396678651587694,-4.952837795478693,-8.602683634327478,-6.919207634380842
2023-01-06,6,0.044,0.0,0.0,9303.862615,5311.891315,9303.862615,194.12,11.63,192.81,8.84,100.61,0.1704328497308544,-8.61997834000284,-1.9599932188356943,-11.278621862355422,-2.8371797415740745
2023-01-06,7,0.003,933.233897,0.0,11476.717433,619.3264300000001,12409.95133,205.25,11.3,204.12,8.31,100.43,0.1909630153959247,-7.584467091323109,-3.39587381105906,-10.22034314363436,-4.820226760886479
2023-01-06,8,0.0,0.0,0.0,280.245099,191.534,280.245099,179.44,10.39,178.31,9.09,101.5,0.0830531553215301,-9.086046055720791,0.2680803486282039,-10.389503735871934,0.101548620390197
2023-01-06,9,0.0,640.4338,0.0,366.137144,15486.269640999999,1006.5709439999999,193.19,10.84,192.25,8.24,101.08,0.1703965402898689,-8.052384317252473,-1.7483440185691166,-10.55402717184182,-2.473481444447198
2023-01-06,10,0.058,50.8783,7632.567911,4720.9103000000005,5822.528376,12404.356511,205.69,11.15,204.31,8.33,100.41,0.18116638080583,-7.591390894779962,-3.429239607063334,-10.047852553554923,-4.833545185680981
2023-01-07,1,0.019,0.0,0.0,1867.512085,792.8984679999999,1867.512085,191.44,8.78,190.44,6.38,100.76,0.1983974080785804,-6.274380407870203,-1.156092771941137,-8.605567256148124,-1.7414396917238428
2023-01-07,2,0.093,0.0,0.0,3432.360349,1451.7621860000002,3432.360349,182.75,8.65,181.62,5.85,100.21,0.2430150654948222,-5.847661799754,-0.1653828156060979,-8.640038543094823,-0.4150108117096251
2023-01-07,3,0.0,194.9998,5307.4894509999995,4479.12196,1013.870854,9981.611211,191.5,8.09,190.5,5.79,100.86,0.2078343233381441,-5.693045914795297,-1.055143692599534,-7.927590860382512,-1.6128865894351236
2023-01-07,4,0.005,0.0,0.0,1621.302793,1942.3920730000002,1621.302793,188.69,8.49,187.31,5.99,100.33,0.2167201266362486,-5.941314780644136,-0.7621539721732897,-8.392537107126532,-1.2827396093924155
2023-01-07,5,0.005,3145.01356,3881.300642,11393.414093,4066.1213620000003,18419.728295,187.31,9.77,185.94,7.09,100.44,0.1992193193869376,-7.051932457019255,-0.7337224418254963,-9.690591887628248,-1.2431125723093557
2023-01-07,6,0.014,11.51,0.0,6103.209368999999,4856.250392,6114.7193689999995,181.94,8.91,180.94,6.54,100.51,0.1921397983883224,-6.539119866698208,-0.107291047868906,-8.904893017010272,-0.3016295005494356
2023-01-07,7,0.0,810.494435,0.0,9364.892394999999,454.076873,10175.38683,182.62,9.7,181.44,6.76,100.29,0.2243659060499794,-6.757865119555108,-0.1698794451969619,-9.68986034032434,-0.4434034111386957
2023-01-07,8,0.0,0.0,0.0,132.547986,184.726,132.547986,201.0,8.16,200.31,7.07,101.32,0.089089295063692,-6.630446566236827,-2.453992325228068,-7.618016280217166,-2.924282468289652
2023-01-07,9,0.0,263.8934,0.0,131.378454,15156.8538,395.27185399999996,192.44,7.69,191.62,5.55,100.92,0.2026315232415421,-5.4362527526978095,-1.1178801406168242,-7.509455155077138,-1.6565576578813688
2023-01-07,10,0.01,40.2955,6881.028091,2804.6169950000003,5550.077775,9725.940586,189.0,8.44,187.94,5.91,100.27,0.2214043017359635,-5.853342410749316,-0.8163838695879492,-8.336089594622962,-1.3203068849395472
2023-01-08,1,0.05,0.0,0.0,1879.904517,832.6853169999999,1879.904517,189.31,8.73,188.19,6.56,99.72,0.1775618460878121,-6.493095276860572,-0.93451256043508,-8.615004041726984,-1.4123049815913515
2023-01-08,2,0.34,0.0,0.0,3778.996219,1285.7776009999998,3778.996219,187.56,8.93,186.0,6.44,99.2,0.2031068438531828,-6.40472100617168,-0.6731633034436886,-8.852377145450694,-1.1748697266940835
2023-01-08,3,0.0,183.8487,6431.447799,5286.870412,949.802855,11902.166911,186.0,8.09,185.12,5.9,99.82,0.1961407630079374,-5.876458851118086,-0.526527654654447,-8.045682133529331,-0.8456352678353168
2023-01-08,4,0.027999999999999997,0.0,0.0,1506.93385,856.518275,1506.93385,193.94,8.69,192.44,6.31,99.31,0.1988503316913649,-6.161854620095804,-1.3592820313694975,-8.434066762391177,-2.0934702881885863
2023-01-08,5,0.01,3149.07396,4206.86716,11122.940054,1030.9256810000002,18478.881174000002,191.5,9.77,190.25,7.37,99.43,0.1751535475059766,-7.252379941653164,-1.3114439301422127,-9.573864364145503,-1.9478247192560143
2023-01-08,6,0.043,0.0,0.0,6883.5418740000005,3960.636407,6883.5418740000005,184.38,9.36,183.06,6.83,99.5,0.1957954478841722,-6.8202616570462515,-0.3645969410523347,-9.332663853008288,-0.7148324326389243
2023-01-08,7,0.0,919.755754,0.0,10551.866347,427.198478,11471.622101,187.88,10.02,186.56,7.27,99.27,0.1993409013374582,-7.222401599974791,-0.8305510993801462,-9.925384948495717,-1.373729822117389
2023-01-08,8,0.0,0.0,0.0,219.964985,163.807,219.964985,184.06,9.77,183.31,8.45,100.31,0.0901867810893588,-8.435903326289322,-0.4878883781160689,-9.745481740357956,-0.6917265705100826
2023-01-08,9,0.0,298.086,0.0,152.918336,11940.25536,451.004336,186.19,7.82,185.19,5.68,99.88,0.1986614825921416,-5.656713146320808,-0.5138057806616718,-7.774407822501943,-0.8431980843316728
2023-01-08,10,0.034999999999999996,32.4299,7104.653172,2974.147842,5673.359821,10111.230914,192.06,8.62,190.62,6.42,99.25,0.1830868806415029,-6.310032321609875,-1.1831703597701793,-8.429750909340822,-1.8010273752687898
2023-01-09,1,0.072,0.0,0.0,987.7108920000001,1120.680712,987.7108920000001,195.25,7.39,194.25,5.89,99.34,0.1409633360466177,-5.708770058172783,-1.4498428959407683,-7.1297783230949285,-1.943800674844432
2023-01-09,2,0.5549999999999999,0.0,0.0,2098.8092930000003,3437.978431,2098.8092930000003,190.19,7.57,189.06,5.03,98.88,0.2539849969853665,-4.967245625816683,-0.7920674799567469,-7.450594605731753,-1.33923113055249
2023-01-09,3,0.0,94.2733,2106.395445,2268.964121,1046.70401,4469.632866,196.25,6.49,195.38,4.93,99.4,0.1708196013884176,-4.753447047396011,-1.3075324728671711,-6.230723554964677,-1.8160903010611384
2023-01-09,4,0.042,0.0,0.0,957.9917820000001,1905.5659170000001,957.9917820000001,198.19,7.16,197.0,5.14,98.97,0.2059457522062395,-4.915406445650002,-1.502790562274867,-6.802190096442298,-2.235130844461308
2023-01-09,5,0.009,2068.2464,2797.044556,6219.981338,6268.237794000001,11085.272293999999,203.88,7.77,202.75,5.45,99.11,0.2203592651598636,-5.025995295603963,-2.107574740920673,-7.104851641251413,-3.145470259882788
2023-01-09,6,0.07200000000000001,3.91,0.0,3871.7365710000004,5026.663832,3875.646571,180.69,7.77,179.75,5.67,99.18,0.1957708614949733,-5.669946025686564,0.0247399636445122,-7.76943657165589,-0.0935700754299062
2023-01-09,7,0.005,453.102642,0.0,5412.662206,861.990462,5865.764848000001,195.94,8.06,194.94,5.52,98.98,0.235197452045254,-5.333403748675065,-1.4230967829416108,-7.750091513566235,-2.2135224262131703
2023-01-09,8,0.0,0.0,0.0,115.75855,178.479,115.75855,200.75,7.88,200.12,6.96,99.74,0.0771377563336372,-6.535260675744167,-2.394152856455051,-7.368865452325772,-2.791813379422001
